,dot_s,psi,t,x,y,z
33,0.0,0.7853981633974483,0.33,0.0,0.0,-100.0
34,0.0,0.7853981633974483,0.34,0.0,0.0,-100.0
35,0.0,0.7853981633974483,0.35000000000000003,0.0,0.0,-100.0
36,0.0,0.7853981633974483,0.36,0.0,0.0,-100.0
37,0.0,0.7853981633974483,0.37,0.0,0.0,-100.0
38,0.0,0.7853981633974483,0.38,0.0,0.0,-100.0
39,0.0,0.7853981633974483,0.39,0.0,0.0,-100.0
40,0.0,0.7853981633974483,0.4,0.0,0.0,-100.0
41,0.0,0.7853981633974483,0.41000000000000003,0.0,0.0,-100.0
42,0.0,0.7853981633974483,0.42,0.0,0.0,-100.0
43,0.0,0.7853981633974483,0.43,0.0,0.0,-100.0
44,0.0,0.7853981633974483,0.44,0.0,0.0,-100.0
45,0.0,0.7853981633974483,0.45,0.0,0.0,-100.0
46,0.0,0.7853981633974483,0.46,0.0,0.0,-100.0
47,0.0,0.7853981633974483,0.47000000000000003,0.0,0.0,-100.0
48,0.0,0.7853981633974483,0.48,0.0,0.0,-100.0
49,0.0,0.7853981633974483,0.49,0.0,0.0,-100.0
50,0.0,0.7853981633974483,0.5,0.0,0.0,-100.0
51,0.0,0.7853981633974483,0.51,0.0,0.0,-100.0
52,0.0,0.7853981633974483,0.52,0.0,0.0,-100.0
53,0.0,0.7853981633974483,0.53,0.0,0.0,-100.0
54,0.0,0.7853981633974483,0.54,0.0,0.0,-100.0
55,0.0,0.7853981633974483,0.55,0.0,0.0,-100.0
56,0.0,0.7853981633974483,0.56,0.0,0.0,-100.0
57,0.0,0.7853981633974483,0.5700000000000001,0.0,0.0,-100.0
58,0.0,0.7853981633974483,0.58,0.0,0.0,-100.0
59,0.0,0.7853981633974483,0.59,0.0,0.0,-100.0
60,0.0,0.7853981633974483,0.6,0.0,0.0,-100.0
61,0.0,0.7853981633974483,0.61,0.0,0.0,-100.0
62,0.0,0.7853981633974483,0.62,0.0,0.0,-100.0
63,0.0,0.7853981633974483,0.63,0.0,0.0,-100.0
64,0.0,0.7853981633974483,0.64,0.0,0.0,-100.0
