,dot_p,dot_q,dot_r,dot_u,dot_v,dot_w,p,phi,psi,q,r,t,theta,u,u1,u2,u3,u4,u5,u6,u7,u8,u_max,u_min,v,w,x,y,z
888,0.0,0.0,-0.0021624748154916665,0.005540329498856797,-0.002089180070151451,-8.913427016500519e-07,0.0,0.0,3.113173109569625,0.0,0.007839422696306534,17.77777777777778,0.0,-0.014648113899372792,-0.041941212174545925,-3.5874939568183017,-3.68930456543046,0.1555847640465111,0.10780407586036014,-3.712642188134472,-3.6116800012607486,-0.2214476277323253,8,-8,0.00763530697795432,-2.2490183185884396e-05,2.9619248717762994,3.0245766336720874,1.0000973522271899
889,0.0,0.0,-0.002150610064013086,0.005499581490509967,-0.0020821113254075427,-7.59176557056378e-07,0.0,0.0,3.1133290377795255,0.0,0.007796410495026272,17.7977977977978,0.0,-0.014538122269562593,-0.04139141975477356,-3.5879198328868216,-3.688975725642995,0.15454323469478273,0.10689311974444585,-3.712213675274271,-3.611999914957732,-0.22004493468445502,8,-8,0.007593664751446169,-2.2505366717025523e-05,2.9622112012206614,3.0244165594809003,1.0000969021198556
890,0.0,0.0,-0.0021388104103227533,0.0054591182300755105,-0.00207500512701373,-6.297274486355775e-07,0.0,0.0,3.113484110465262,0.0,0.007753634286819817,17.81781781781782,0.0,-0.014428939904961084,-0.04084767101865848,-3.5883431220466595,-3.688649679471888,0.15350760413121162,0.10599018451208093,-3.7117879033152406,-3.6123172338685556,-0.21865011762463404,8,-8,0.007552164648905894,-2.2517961265998236e-05,2.962495396302194,3.024257421318605,1.0000964517606303
891,0.0,0.0,-0.002127075497251622,0.005418937968839856,-0.0020678626578746065,-5.02950993087652e-07,0.0,0.0,3.1136383323207997,0.0,0.007711092776874784,17.83783783783784,0.0,-0.014320561145584287,-0.040309906306220264,-3.58876383596629,-3.6883264037331127,0.15247785263861252,0.10509519971539312,-3.7113648575702514,-3.6126319778681526,-0.21726314604778535,8,-8,0.007510807395748402,-2.252802028585999e-05,2.9627774725861187,3.0240992149668005,1.0000960012002247
892,0.0,0.0,-0.002115404969590316,0.005379038965010554,-0.002060685083815222,-3.7880347594476894e-07,0.0,0.0,3.1137917080143493,0.0,0.007668784677482978,17.85785785785786,0.0,-0.014212980366284076,-0.03977806648074045,-3.5891819863230268,-3.688005875422026,0.15145396035923406,0.10420809548827634,-3.710944523392041,-3.6129441667021998,-0.21588398936676995,8,-8,0.007469593694072098,-2.2535596355378884e-05,2.9630574455296292,3.0239419362103175,1.0000955504882976
893,0.0,0.0,-0.0021037984740783465,0.005339419483754373,-0.0020534735537710513,-2.5724184170602605e-07,0.0,0.0,3.1139442421885093,0.0,0.007626708708001411,17.87787787787788,0.0,-0.014106191976608989,-0.0392520929250538,-3.5895975848017887,-3.687688071712202,0.15043590729896536,0.10332880254236762,-3.710526886173711,-3.613253819987551,-0.21451261691627918,8,-8,0.007428524222996676,-2.2540741192213004e-05,2.963335330482559,3.0237855808374636,1.0000950996734737
894,0.0,0.0,-0.0020922556593934495,0.005300077797233938,-0.0020462291999762228,-1.3822368436858623e-07,0.0,0.0,3.1140959394604057,0.0,0.007584863594813542,17.8978978978979,0.0,-0.01400019042066431,-0.03873192753785325,-3.590010643093897,-3.6873729699542834,0.1494236733314798,0.10245725216303928,-3.7101119313492146,-3.613560957212665,-0.2131489979566658,8,-8,0.007387599638997152,-2.2543505665900375e-05,2.9636111426880474,3.0236301446402636,1.0000946488033604
895,0.0,0.0,-0.002080776176140958,0.005261012184642918,-0.002038953138150148,-2.170723787073026e-08,0.0,0.0,3.1142468044218314,0.0,0.007543248071290723,17.91791791791792,0.0,-0.013894970176971451,-0.038217512730006425,-3.5904211728958937,-3.687060547674832,0.1484172382023172,0.10159337620540435,-3.7096996443938264,-3.6138655977380467,-0.21179310167771512,8,-8,0.007346820576234149,-2.254393981065779e-05,2.963884897283202,3.023475623414696,1.000094197924564
896,0.0,0.0,-0.0020693596768431876,0.005222220932239741,-0.0020316464676824945,9.234863313478103e-08,0.0,0.0,3.1143968416393863,0.0,0.007501860877753859,17.93793793793794,0.0,-0.013790525758326656,-0.03770879142088458,-3.5908291859083747,-3.6867507825751784,0.14741658153290466,0.10073710709033618,-3.7092900108246107,-3.614167760796697,-0.21044489720235626,8,-8,0.007306187646880499,-2.2542092837995096e-05,2.9641566092997587,3.0233220129609246,1.0000937470827074
897,0.0,0.0,-0.002058005815928973,0.005183702333379909,-0.0020243102718165286,2.039844424853244e-07,0.0,0.0,3.114546055654615,0.0,0.00746070076143528,17.95795795795796,0.0,-0.013686851711659058,-0.03720570703470398,-3.5912346938348554,-3.6864436525302864,0.14642168282451645,0.099888377800502,-3.708883016200865,-3.6144674654945623,-0.20910435359031448,8,-8,0.007265701441444169,-2.253801314914539e-05,2.9644262936647374,3.02316930908353,1.0000932963224445
